date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl
2022-05-05,25,1,9,2
2022-05-06,20,2,21,0
2022-05-07,29,1,9,0
2022-05-08,33,1,2,0
2022-05-09,10,1,30,2
2022-05-10,33,3,26,1
2022-05-11,40,2,18,0
2022-05-12,40,2,21,2
2022-05-13,39,1,23,1
2022-05-14,43,2,12,0
2022-05-15,48,2,5,0
2022-05-16,28,1,30,0
2022-05-17,46,0,30,1
2022-05-18,54,1,22,1
2022-05-19,51,2,16,1
2022-05-20,41,3,20,1
2022-05-21,35,1,11,1
2022-05-22,36,2,3,0
2022-05-23,21,1,18,0
2022-05-24,28,0,8,0
2022-05-25,27,0,19,0
2022-05-26,34,0,12,1
2022-05-27,41,1,6,0
2022-05-28,45,1,7,0
2022-05-29,41,1,1,0
2022-05-30,26,0,19,0
2022-05-31,28,0,24,1
2022-06-01,38,1,28,1
2022-06-02,43,2,15,2
2022-06-03,31,1,29,0
2022-06-04,41,1,18,2
2022-06-05,51,2,4,0
2022-06-06,35,2,6,1
2022-06-07,22,3,34,0
2022-06-08,40,1,22,1
2022-06-09,49,2,23,1
2022-06-10,41,3,27,1
2022-06-11,46,1,17,0
2022-06-12,54,1,4,0
2022-06-13,25,1,47,1
2022-06-14,54,1,26,0
2022-06-15,62,1,29,0
2022-06-16,63,0,15,1
2022-06-17,40,0,19,2
2022-06-18,38,2,4,0
2022-06-19,28,1,3,0
2022-06-20,18,1,21,2
2022-06-21,29,2,18,0
2022-06-22,29,2,27,0
2022-06-23,39,2,27,2
2022-06-24,40,2,27,1
2022-06-25,48,1,12,2
2022-06-26,48,1,6,0
2022-06-27,31,1,22,4
2022-06-28,35,4,33,2
2022-06-29,52,3,26,3
2022-06-30,48,3,18,2
2022-07-01,29,2,18,1
2022-07-02,32,3,17,0
2022-07-03,42,1,2,0
2022-07-04,23,1,16,3
2022-07-05,27,4,16,6
2022-07-06,31,7,6,7
2022-07-07,31,6,8,4
2022-07-08,18,6,22,2
2022-07-09,32,4,13,1
2022-07-10,39,5,7,0
2022-07-11,24,3,17,0
2022-07-12,31,3,19,5
2022-07-13,31,6,13,1
2022-07-14,28,3,11,1
2022-07-15,35,4,13,4
2022-07-16,40,7,18,0
2022-07-17,52,7,4,0
2022-07-18,31,4,13,0
2022-07-19,28,0,26,1
2022-07-20,47,1,18,1
2022-07-21,43,2,14,2
2022-07-22,33,4,11,0
2022-07-23,31,3,13,1
2022-07-24,39,3,6,1
2022-07-25,30,2,9,0
2022-07-26,22,2,11,0
2022-07-27,25,0,6,0
2022-07-28,21,0,9,0
2022-07-29,22,0,14,3
2022-07-30,28,3,4,0
2022-07-31,25,2,2,3
2022-08-01,16,5,3,0
2022-08-02,14,5,13,0
2022-08-03,21,2,4,2
2022-08-04,23,4,5,0
2022-08-05,16,3,5,0
2022-08-06,17,2,6,0
2022-08-07,18,2,8,1
2022-08-08,18,2,11,1
2022-08-09,27,3,20,0
2022-08-10,36,3,14,1
2022-08-11,35,3,7,0
2022-08-12,32,3,10,3
2022-08-13,31,4,10,0
2022-08-14,35,4,6,1
2022-08-15,33,3,7,1
2022-08-16,32,3,7,0
2022-08-17,30,1,10,0
2022-08-18,32,0,1,1
2022-08-19,27,1,10,0
2022-08-20,30,1,5,1
2022-08-21,28,2,6,0
2022-08-22,26,1,5,0
2022-08-23,29,1,7,0
2022-08-24,31,1,10,2
2022-08-25,31,2,16,0
2022-08-26,34,2,10,0
2022-08-27,32,0,5,0
2022-08-28,30,0,5,0
2022-08-29,19,0,9,1
2022-08-30,18,1,17,2
2022-08-31,26,3,13,1
2022-09-01,25,2,9,1
2022-09-02,21,3,25,2
2022-09-03,33,1,14,0
2022-09-04,44,0,4,0
2022-09-05,29,0,26,0
2022-09-06,44,0,23,0
2022-09-07,50,0,15,0
2022-09-08,45,0,21,0
2022-09-09,44,0,27,1
2022-09-10,52,0,6,0
2022-09-11,55,0,6,2
2022-09-12,31,2,31,0
2022-09-13,43,2,34,2
