date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl
2022-04-22,12,1,15,1
2022-04-23,20,1,0,1
2022-04-24,19,1,1,1
2022-04-25,7,1,10,0
2022-04-26,11,1,13,0
2022-04-27,11,1,8,0
2022-04-28,15,1,12,1
2022-04-29,12,1,20,2
2022-04-30,30,3,6,1
2022-05-01,31,4,4,0
2022-05-02,21,2,4,0
2022-05-03,11,0,8,0
2022-05-04,12,0,13,1
2022-05-05,18,1,10,1
2022-05-06,18,2,25,2
2022-05-07,32,4,4,0
2022-05-08,32,4,3,1
2022-05-09,21,4,13,0
2022-05-10,16,2,11,0
2022-05-11,21,2,9,1
2022-05-12,17,3,21,3
2022-05-13,20,2,30,1
2022-05-14,34,0,6,0
2022-05-15,37,0,2,1
2022-05-16,14,0,10,1
2022-05-17,11,0,10,0
2022-05-18,13,0,7,0
2022-05-19,11,0,16,2
2022-05-20,17,1,30,1
2022-05-21,30,2,13,1
2022-05-22,38,2,2,0
2022-05-23,12,0,7,0
2022-05-24,7,0,7,1
2022-05-25,7,1,10,0
2022-05-26,12,1,5,1
2022-05-27,16,1,9,2
2022-05-28,24,2,7,0
2022-05-29,27,2,4,0
2022-05-30,14,2,12,1
2022-05-31,18,2,17,2
2022-06-01,20,3,11,3
2022-06-02,20,3,17,2
2022-06-03,22,3,25,2
2022-06-04,30,5,15,0
2022-06-05,42,5,2,0
2022-06-06,36,4,4,1
2022-06-07,14,3,17,0
2022-06-08,17,3,14,1
2022-06-09,20,2,11,0
2022-06-10,16,1,26,1
2022-06-11,30,2,9,1
2022-06-12,30,3,1,0
2022-06-13,11,2,19,1
2022-06-14,15,2,18,0
2022-06-15,17,1,11,1
2022-06-16,14,0,9,3
2022-06-17,13,3,37,1
2022-06-18,41,3,6,2
2022-06-19,47,4,5,0
2022-06-20,21,1,13,1
2022-06-21,18,1,8,1
2022-06-22,16,2,14,0
2022-06-23,25,0,18,0
2022-06-24,24,0,38,3
2022-06-25,47,3,6,1
2022-06-26,45,3,5,0
2022-06-27,22,1,9,0
2022-06-28,16,0,16,1
2022-06-29,17,0,10,0
2022-06-30,16,0,12,1
2022-07-01,16,1,25,2
2022-07-02,31,2,6,1
2022-07-03,32,3,1,0
2022-07-04,17,2,11,2
2022-07-05,13,2,9,2
2022-07-06,16,1,7,4
2022-07-07,18,3,8,0
2022-07-08,12,2,38,1
2022-07-09,39,3,11,1
2022-07-10,45,4,5,1
2022-07-11,21,4,4,2
2022-07-12,8,5,4,0
2022-07-13,8,4,16,0
2022-07-14,19,2,6,1
2022-07-15,22,3,14,2
2022-07-16,31,5,9,0
2022-07-17,36,4,0,0
2022-07-18,17,2,8,0
2022-07-19,10,2,9,0
2022-07-20,14,2,3,0
2022-07-21,12,2,7,1
2022-07-22,13,2,14,0
2022-07-23,23,1,8,2
2022-07-24,30,3,2,0
2022-07-25,18,1,4,0
2022-07-26,12,1,5,1
2022-07-27,11,1,10,0
2022-07-28,16,0,5,2
2022-07-29,11,0,13,1
2022-07-30,22,1,5,1
2022-07-31,22,2,2,0
2022-08-01,13,1,3,0
2022-08-02,13,0,6,0
2022-08-03,11,0,8,0
2022-08-04,14,0,6,0
2022-08-05,14,0,15,0
2022-08-06,27,0,7,0
2022-08-07,29,0,2,0
2022-08-08,14,0,7,1
2022-08-09,13,1,4,0
2022-08-10,13,1,6,0
2022-08-11,13,0,5,0
2022-08-12,15,0,17,0
2022-08-13,29,0,10,0
2022-08-14,35,0,3,0
2022-08-15,30,0,5,0
2022-08-16,15,0,4,0
2022-08-17,15,0,2,0
2022-08-18,15,0,7,0
2022-08-19,20,0,19,0
2022-08-20,34,0,6,0
2022-08-21,33,0,3,0
2022-08-22,19,0,4,0
2022-08-23,12,0,6,1
2022-08-24,13,1,5,1
2022-08-25,13,2,5,3
2022-08-26,12,2,20,3
2022-08-27,27,3,7,0
2022-08-28,30,3,2,0
2022-08-29,16,2,7,1
2022-08-30,14,1,5,1
2022-08-31,13,0,3,2
2022-09-01,12,2,12,2
2022-09-02,18,2,21,4
2022-09-03,33,5,8,0
2022-09-04,36,5,2,0
2022-09-05,17,3,16,1
2022-09-06,16,1,13,0
2022-09-07,18,1,5,1
2022-09-08,17,2,19,2
2022-09-09,20,2,23,1
2022-09-10,31,2,9,0
2022-09-11,37,2,2,0
2022-09-12,19,2,15,0
2022-09-13,16,0,13,1
2022-09-14,18,1,9,1
2022-09-15,20,1,8,0
2022-09-16,18,1,34,3
2022-09-17,41,1,9,0
2022-09-18,47,1,5,0
2022-09-19,27,0,15,0
2022-09-20,21,0,12,1
2022-09-21,20,1,10,2
2022-09-22,16,2,8,0
2022-09-23,10,1,24,2
2022-09-24,30,2,6,0
2022-09-25,34,2,1,0
2022-09-26,14,1,15,0
2022-09-27,16,0,18,0
2022-09-28,21,0,13,4
2022-09-29,24,4,11,6
2022-09-30,22,4,28,3
2022-10-01,41,5,5,1
2022-10-02,38,6,4,0
2022-10-03,20,5,12,1
2022-10-04,13,2,8,1
2022-10-05,14,1,17,3
2022-10-06,23,4,17,1
2022-10-07,19,4,32,1
2022-10-08,35,1,6,0
2022-10-09,36,0,2,0
2022-10-10,17,0,12,0
2022-10-11,13,0,14,3
2022-10-12,16,2,12,1
2022-10-13,16,3,16,2
2022-10-14,14,4,38,3
2022-10-15,41,6,9,1
2022-10-16,46,6,2,0
2022-10-17,23,1,16,1
2022-10-18,20,0,9,5
2022-10-19,20,3,7,1
2022-10-20,21,3,9,1
2022-10-21,17,2,22,1
2022-10-22,26,2,10,0
2022-10-23,32,2,2,1
2022-10-24,14,2,20,3
2022-10-25,18,4,12,2
2022-10-26,14,4,10,1
2022-10-27,11,3,18,1
2022-10-28,19,3,19,1
2022-10-29,34,3,13,2
2022-10-30,42,5,7,0
2022-10-31,43,3,1,0
2022-11-01,29,3,2,0
2022-11-02,21,2,13,2
2022-11-03,29,1,10,1
2022-11-04,30,1,12,0
2022-11-05,27,1,6,1
2022-11-06,23,2,2,0
2022-11-07,10,1,10,2
2022-11-08,15,3,19,1
2022-11-09,16,1,10,1
2022-11-10,9,2,19,1
2022-11-11,19,1,21,0
2022-11-12,36,1,5,2
2022-11-13,38,3,4,0
2022-11-14,16,1,14,0
2022-11-15,17,0,21,2
2022-11-16,26,0,18,2
2022-11-17,28,2,15,0
2022-11-18,26,2,21,1
2022-11-19,29,2,7,0
2022-11-20,30,2,2,2
2022-11-21,17,3,19,1
2022-11-22,23,3,9,1
2022-11-23,29,3,11,2
