,date,nb_cars,nb_cars_cxl,nb_bookings,nb_bookings_cxl
412,2022-07-18,15,0,4,0
413,2022-07-19,13,0,5,1
414,2022-07-20,16,1,1,0
415,2022-07-21,12,0,1,0
416,2022-07-22,13,0,7,0
417,2022-07-23,18,0,9,0
418,2022-07-24,19,0,2,1
419,2022-07-25,9,1,3,0
420,2022-07-26,9,0,2,0
421,2022-07-27,7,0,0,0
422,2022-07-28,5,0,3,0
423,2022-07-29,6,0,6,0
424,2022-07-30,11,0,8,0
425,2022-07-31,18,0,3,0
426,2022-08-01,7,0,2,0
427,2022-08-02,6,0,1,0
428,2022-08-03,6,0,2,0
429,2022-08-04,6,0,3,0
430,2022-08-05,9,0,4,0
431,2022-08-06,11,0,2,0
432,2022-08-07,10,0,4,0
433,2022-08-08,10,0,1,0
434,2022-08-09,10,0,1,0
435,2022-08-10,10,0,2,0
436,2022-08-11,8,0,3,0
437,2022-08-12,10,0,5,0
438,2022-08-13,12,0,7,0
439,2022-08-14,16,0,2,0
440,2022-08-15,14,0,3,0
441,2022-08-16,12,0,3,0
442,2022-08-17,15,0,1,0
443,2022-08-18,14,0,2,0
444,2022-08-19,12,0,7,0
445,2022-08-20,17,0,4,0
446,2022-08-21,15,0,1,0
447,2022-08-22,11,0,1,0
448,2022-08-23,8,0,2,0
449,2022-08-24,9,0,0,0
450,2022-08-25,8,0,5,1
451,2022-08-26,12,1,3,0
452,2022-08-27,12,1,2,0
453,2022-08-28,12,0,3,0
454,2022-08-29,11,0,1,0
455,2022-08-30,6,0,4,0
456,2022-08-31,9,0,2,0
457,2022-09-01,11,0,3,0
458,2022-09-02,8,0,7,0
459,2022-09-03,13,0,7,1
460,2022-09-04,19,1,3,0
461,2022-09-05,13,1,1,0
462,2022-09-06,11,1,1,0
463,2022-09-07,11,1,0,0
464,2022-09-08,9,1,2,0
465,2022-09-09,7,1,8,0
466,2022-09-10,13,1,0,1
467,2022-09-11,10,1,1,0
468,2022-09-12,3,1,2,0
469,2022-09-13,3,1,3,0
470,2022-09-14,6,1,5,1
471,2022-09-15,9,1,6,0
472,2022-09-16,10,1,10,0
473,2022-09-17,17,1,3,0
474,2022-09-18,14,1,1,0
475,2022-09-19,11,1,3,0
476,2022-09-20,9,1,8,0
477,2022-09-21,11,1,3,1
478,2022-09-22,7,2,7,1
479,2022-09-23,13,2,11,0
480,2022-09-24,18,1,5,0
481,2022-09-25,21,1,5,0
482,2022-09-26,12,0,3,0
483,2022-09-27,11,0,2,0
484,2022-09-28,9,0,6,0
485,2022-09-29,13,0,2,0
486,2022-09-30,10,0,9,0
487,2022-10-01,13,0,3,0
488,2022-10-02,13,0,1,0
489,2022-10-03,6,0,2,0
490,2022-10-04,5,0,2,0
491,2022-10-05,2,0,0,0
492,2022-10-06,0,0,4,0
493,2022-10-07,4,0,15,0
494,2022-10-08,18,0,3,0
495,2022-10-09,19,0,1,0
496,2022-10-10,6,0,5,0
497,2022-10-11,5,0,5,0
498,2022-10-12,7,0,3,0
499,2022-10-13,6,0,6,0
500,2022-10-14,7,0,13,0
501,2022-10-15,13,0,6,0
502,2022-10-16,17,0,2,0
503,2022-10-17,5,0,4,0
504,2022-10-18,4,0,5,2
505,2022-10-19,6,2,0,0
506,2022-10-20,2,2,4,1
507,2022-10-21,6,1,11,1
508,2022-10-22,15,2,7,0
509,2022-10-23,20,1,1,1
510,2022-10-24,13,2,2,0
511,2022-10-25,8,2,2,0
512,2022-10-26,7,2,3,0
513,2022-10-27,8,2,4,0
514,2022-10-28,6,2,11,0
515,2022-10-29,15,1,4,0
516,2022-10-30,18,1,0,0
517,2022-10-31,14,0,4,0
518,2022-11-01,13,0,3,0
519,2022-11-02,13,0,2,0
520,2022-11-03,10,0,3,0
521,2022-11-04,9,0,10,1
522,2022-11-05,18,1,6,0
523,2022-11-06,18,1,3,0
524,2022-11-07,9,1,2,1
525,2022-11-08,10,1,2,0
526,2022-11-09,10,0,3,0
527,2022-11-10,9,0,7,1
528,2022-11-11,13,1,18,1
529,2022-11-12,29,2,4,0
530,2022-11-13,32,2,5,0
531,2022-11-14,14,0,0,0
532,2022-11-15,10,0,7,0
533,2022-11-16,11,0,9,0
534,2022-11-17,15,0,3,0
535,2022-11-18,16,0,12,1
536,2022-11-19,20,1,3,2
537,2022-11-20,19,1,2,0
538,2022-11-21,10,0,3,0
539,2022-11-22,9,0,4,0
540,2022-11-23,10,0,6,1
541,2022-11-24,14,1,6,1
542,2022-11-25,16,1,8,1
543,2022-11-26,19,1,8,0
544,2022-11-27,25,1,3,0
545,2022-11-28,12,0,3,1
546,2022-11-29,8,0,2,0
547,2022-11-30,6,0,4,0
548,2022-12-01,8,0,2,0
549,2022-12-02,9,0,6,1
550,2022-12-03,12,1,2,3
551,2022-12-04,13,4,1,1
552,2022-12-05,6,4,2,0
553,2022-12-06,6,1,1,0
554,2022-12-07,5,1,4,0
555,2022-12-08,8,1,6,0
556,2022-12-09,13,1,15,1
557,2022-12-10,21,1,3,0
558,2022-12-11,22,1,1,0
559,2022-12-12,9,0,2,0
560,2022-12-13,9,0,2,0
561,2022-12-14,9,0,3,0
562,2022-12-15,8,0,2,0
563,2022-12-16,7,0,13,0
564,2022-12-17,18,0,6,2
565,2022-12-18,22,2,0,0
566,2022-12-19,11,1,4,0
567,2022-12-20,10,1,0,0
568,2022-12-21,10,1,5,0
569,2022-12-22,13,0,2,0
570,2022-12-23,11,0,4,2
571,2022-12-24,11,2,5,0
572,2022-12-25,16,2,2,0
573,2022-12-26,13,0,5,1
574,2022-12-27,12,1,1,0
575,2022-12-28,10,1,2,0
576,2022-12-29,10,1,4,0
577,2022-12-30,12,1,7,0
578,2022-12-31,15,0,4,0
579,2023-01-01,19,0,1,0
580,2023-01-02,10,0,2,0
581,2023-01-03,6,0,2,0
582,2023-01-04,6,0,0,0
583,2023-01-05,4,0,2,0
584,2023-01-06,6,0,4,0
585,2023-01-07,6,0,4,0
586,2023-01-08,10,0,0,0
587,2023-01-09,8,0,3,0
588,2023-01-10,5,0,5,0
589,2023-01-11,8,0,2,0
590,2023-01-12,8,0,3,1
591,2023-01-13,7,0,12,1
592,2023-01-14,15,1,2,0
593,2023-01-15,17,1,1,1
594,2023-01-16,5,1,3,0
595,2023-01-17,7,1,2,1
596,2023-01-18,8,2,5,1
597,2023-01-19,9,2,0,0
598,2023-01-20,8,1,7,0
599,2023-01-21,9,1,1,0
600,2023-01-22,10,1,1,0
601,2023-01-23,4,0,3,0
602,2023-01-24,5,0,4,0
603,2023-01-25,4,0,5,0
604,2023-01-26,6,0,0,0
605,2023-01-27,4,0,10,1
606,2023-01-28,11,1,4,0
607,2023-01-29,12,1,1,0
608,2023-01-30,7,1,5,0
609,2023-01-31,7,0,0,2
610,2023-02-01,5,2,2,0
611,2023-02-02,4,0,2,0
612,2023-02-03,5,0,8,1
613,2023-02-04,12,1,5,0
614,2023-02-05,16,1,2,0
615,2023-02-06,7,0,3,0
616,2023-02-07,4,0,0,0
617,2023-02-08,4,0,2,0
618,2023-02-09,4,0,2,0
619,2023-02-10,4,0,9,0
620,2023-02-11,11,0,3,0
621,2023-02-12,12,0,2,0
622,2023-02-13,5,0,1,0
623,2023-02-14,3,0,0,0
624,2023-02-15,2,0,1,1
625,2023-02-16,3,1,1,0
626,2023-02-17,4,1,16,0
627,2023-02-18,18,1,6,0
628,2023-02-19,21,1,0,0
629,2023-02-20,10,1,0,0
630,2023-02-21,5,0,0,0
631,2023-02-22,4,0,1,0
632,2023-02-23,3,0,4,0
633,2023-02-24,4,0,11,0
634,2023-02-25,14,0,5,2
635,2023-02-26,18,2,1,0
636,2023-02-27,10,2,1,0
637,2023-02-28,3,0,5,0
638,2023-03-01,8,0,3,0
639,2023-03-02,7,0,3,0
640,2023-03-03,8,0,8,1
641,2023-03-04,13,1,4,0
642,2023-03-05,15,1,2,0
643,2023-03-06,8,0,1,0
644,2023-03-07,3,0,0,0
645,2023-03-08,3,0,2,0
646,2023-03-09,3,0,0,0
647,2023-03-10,3,0,5,1
648,2023-03-11,5,1,0,2
649,2023-03-12,5,3,1,1
650,2023-03-13,4,2,1,0
651,2023-03-14,3,0,1,1
652,2023-03-15,3,0,5,0
653,2023-03-16,4,0,3,0
654,2023-03-17,5,0,6,1
655,2023-03-18,10,1,5,0
656,2023-03-19,14,1,3,0
657,2023-03-20,8,0,1,0
658,2023-03-21,3,0,1,0
659,2023-03-22,3,0,2,1
660,2023-03-23,5,1,2,1
661,2023-03-24,6,0,5,1
662,2023-03-25,6,1,1,0
663,2023-03-26,6,0,0,0
664,2023-03-27,0,0,6,2
665,2023-03-28,5,2,2,3
666,2023-03-29,5,5,1,0
667,2023-03-30,5,4,4,0
668,2023-03-31,7,3,5,0
669,2023-04-01,10,1,8,0
670,2023-04-02,16,1,0,0
671,2023-04-03,8,0,3,0
672,2023-04-04,5,0,6,1
673,2023-04-05,7,1,6,1
674,2023-04-06,11,1,0,1
675,2023-04-07,6,2,12,1
676,2023-04-08,18,3,8,0
677,2023-04-09,25,3,1,0
678,2023-04-10,22,3,0,0
679,2023-04-11,7,3,5,0
680,2023-04-12,10,3,0,0
681,2023-04-13,7,3,1,0
682,2023-04-14,7,3,10,0
683,2023-04-15,13,3,4,0
684,2023-04-16,15,3,1,0
685,2023-04-17,9,3,3,0
686,2023-04-18,5,2,4,0
687,2023-04-19,5,2,4,0
688,2023-04-20,8,2,6,0
689,2023-04-21,11,2,6,0
690,2023-04-22,15,2,1,0
691,2023-04-23,11,2,0,0
692,2023-04-24,5,0,3,1
693,2023-04-25,3,1,1,0
694,2023-04-26,3,0,5,0
695,2023-04-27,6,0,4,0
696,2023-04-28,7,0,7,0
697,2023-04-29,10,0,7,0
698,2023-04-30,17,0,1,0
699,2023-05-01,13,0,1,0
700,2023-05-02,6,0,2,0
701,2023-05-03,2,0,3,0
702,2023-05-04,5,0,1,0
703,2023-05-05,6,0,10,2
704,2023-05-06,12,2,8,0
705,2023-05-07,18,2,0,0
706,2023-05-08,14,2,1,0
707,2023-05-09,2,0,6,0
708,2023-05-10,7,0,3,0
709,2023-05-11,5,0,1,0
710,2023-05-12,5,0,11,0
711,2023-05-13,11,0,5,0
712,2023-05-14,14,0,1,0
713,2023-05-15,6,0,4,0
714,2023-05-16,3,0,0,0
715,2023-05-17,2,0,4,0
716,2023-05-18,6,0,4,0
717,2023-05-19,9,0,2,0
718,2023-05-20,11,0,1,0
719,2023-05-21,12,0,2,0
720,2023-05-22,3,0,4,0
721,2023-05-23,7,0,4,0
722,2023-05-24,10,0,1,0
723,2023-05-25,8,0,2,0
724,2023-05-26,9,0,9,0
725,2023-05-27,15,0,8,0
726,2023-05-28,20,0,0,0
727,2023-05-29,15,0,0,0
728,2023-05-30,5,0,3,0
729,2023-05-31,3,0,4,0
730,2023-06-01,5,0,2,0
731,2023-06-02,5,0,12,1
732,2023-06-03,12,1,0,0
733,2023-06-04,12,1,1,0
734,2023-06-05,4,0,6,0
735,2023-06-06,8,0,2,0
736,2023-06-07,9,0,2,0
737,2023-06-08,8,0,1,0
738,2023-06-09,6,0,7,0
739,2023-06-10,9,0,5,0
740,2023-06-11,12,0,0,0
741,2023-06-12,3,0,4,0
742,2023-06-13,4,0,3,0
743,2023-06-14,7,0,4,0
744,2023-06-15,9,0,5,1
745,2023-06-16,11,1,10,0
746,2023-06-17,16,1,4,0
747,2023-06-18,13,1,4,0
748,2023-06-19,10,1,1,0
749,2023-06-20,10,1,2,0
